match_id,player_name,balls_faced,runs_scored,out,catches
167,GD Phillips,12,6,1,0
167,JL Smith,12,11,1,0
167,JM Clarke,19,16,1,0
167,LS Livingstone,20,28,1,0
167,LWP Wells,6,2,1,0
167,MM Ali,13,17,1,1
167,SS Eskinazi,19,43,1,1
167,Shadab Khan,5,2,1,0
167,TB Abell,18,23,0,0
167,WCF Smeed,13,10,1,1
168,AJ Hose,19,41,1,1
168,AU Rashid,2,0,1,1
168,BA Carse,7,12,1,1
168,CF Parkinson,2,0,0,0
168,D Wiese,6,9,1,1
168,H Klaasen,22,46,1,1
168,HC Brook,5,4,1,1
168,JJ Roy,1,0,1,1
168,JM Cox,38,73,0,0
168,MW Short,4,0,1,1
168,RA Whiteley,1,0,1,0
168,SA Zaib,11,17,1,1
168,SM Curran,12,24,1,1
168,SW Billings,1,0,0,0
168,T Banton,44,81,1,1
168,WD Parnell,5,3,0,0
168,WG Jacks,25,40,1,1
169,AD Hales,12,15,1,1
169,AM Rossington,2,1,1,1
169,C Munro,16,24,1,1
169,DJ Malan,3,1,1,0
169,DJ Mitchell,17,21,0,0
169,DR Sams,11,32,1,0
169,DW Lawrence,50,93,1,1
169,JE Root,38,72,0,0
169,L Gregory,3,6,0,0
169,MS Wade,8,8,1,1
169,RS Bopara,13,25,0,0
169,T Kohler-Cadmore,24,33,1,1
169,Z Crawley,16,30,1,1
170,BGF Green,17,10,1,1
170,DA Payne,1,0,1,1
170,DJ Willey,14,16,1,1
170,DP Conway,25,35,0,0
170,FH Allen,23,31,1,1
170,GD Phillips,14,12,1,1
170,Haris Rauf,1,0,1,1
170,JL du Plooy,12,17,0,0
170,JM Bairstow,4,0,1,1
170,JM Clarke,4,0,1,1
170,RE van der Merwe,4,3,1,1
170,SS Eskinazi,35,38,1,1
170,Shaheen Shah Afridi,4,2,0,0
170,TB Abell,5,1,1,1
171,AJ Hose,7,5,1,1
171,AJ Turner,6,8,1,0
171,AU Rashid,6,8,1,0
171,BA Carse,4,6,1,1
171,CF Parkinson,2,2,0,0
171,D Wiese,3,3,1,1
171,HC Brook,14,20,1,1
171,J Overton,31,83,0,0
171,JC Buttler,2,2,1,1
171,LJ Evans,19,41,1,1
171,MW Short,18,37,1,0
171,PD Salt,3,4,1,1
171,PI Walter,20,22,1,1
171,RJW Topley,3,12,0,0
171,SA Zaib,18,21,1,1
171,T Banton,9,12,1,0
171,TW Hartley,7,10,0,0
171,Usama Mir,6,7,1,1
171,WD Parnell,8,13,1,1
172,AF Milne,1,6,0,0
172,BAC Howell,1,1,0,0
172,BM Duckett,15,23,1,1
172,CG Benjamin,2,7,0,0
172,CR Woakes,1,0,1,1
172,DR Mousley,10,15,2,1
172,H Klaasen,3,0,1,1
172,JJ Roy,15,17,1,1
172,JL Smith,35,60,2,1
172,JM Cox,7,5,1,0
172,LS Livingstone,7,3,1,1
172,MM Ali,26,33,0,0
172,NA Sowter,5,6,1,1
172,RA Whiteley,31,35,1,0
172,SH Johnson,1,1,0,0
172,SM Curran,18,11,1,1
172,SP Narine,11,20,1,1
172,SW Billings,8,14,1,1
172,WCF Smeed,6,6,1,1
172,WG Jacks,4,2,1,1
172,ZJ Chappell,1,0,1,0
