match_id,innings,ball_no,batting_team,bowling team,batter,bowler,non_batter,runs,extras,extra_type,total_runs,wicket,how_out,catcher
1,2,42,Manchester Originals,Oval Invincibles,CR Brathwaite,NA Sowter,C Munro,0,1,wides,1,False,False,False
1,2,42,Manchester Originals,Oval Invincibles,CR Brathwaite,NA Sowter,C Munro,0,2,wides,2,False,False,False
1,2,42,Manchester Originals,Oval Invincibles,C Munro,NA Sowter,CR Brathwaite,1,0,False,1,False,False,False
1,2,43,Manchester Originals,Oval Invincibles,CR Brathwaite,NA Sowter,C Munro,1,0,False,1,False,False,False
1,2,44,Manchester Originals,Oval Invincibles,C Munro,NA Sowter,CR Brathwaite,1,0,False,1,False,False,False
1,2,45,Manchester Originals,Oval Invincibles,CR Brathwaite,NA Sowter,C Munro,1,0,False,1,False,False,False
1,2,46,Manchester Originals,Oval Invincibles,C Munro,TK Curran,CR Brathwaite,0,0,False,0,False,False,False
1,2,47,Manchester Originals,Oval Invincibles,C Munro,TK Curran,CR Brathwaite,1,0,False,1,False,False,False
1,2,48,Manchester Originals,Oval Invincibles,CR Brathwaite,TK Curran,C Munro,0,0,False,0,False,False,False
1,2,49,Manchester Originals,Oval Invincibles,CR Brathwaite,TK Curran,C Munro,0,0,False,0,False,False,False
1,2,50,Manchester Originals,Oval Invincibles,CR Brathwaite,TK Curran,C Munro,0,0,False,0,False,False,False
1,2,51,Manchester Originals,Oval Invincibles,C Munro,SP Narine,CR Brathwaite,0,1,legbyes,1,False,False,False
1,2,52,Manchester Originals,Oval Invincibles,CR Brathwaite,SP Narine,C Munro,0,1,wides,1,False,False,False
1,2,52,Manchester Originals,Oval Invincibles,CR Brathwaite,SP Narine,C Munro,1,0,False,1,False,False,False
1,2,53,Manchester Originals,Oval Invincibles,C Munro,SP Narine,CR Brathwaite,1,0,False,1,False,False,False
1,2,54,Manchester Originals,Oval Invincibles,CR Brathwaite,SP Narine,C Munro,0,0,False,0,False,False,False
1,2,55,Manchester Originals,Oval Invincibles,CR Brathwaite,SP Narine,C Munro,0,0,False,0,False,False,False
1,2,56,Manchester Originals,Oval Invincibles,CR Brathwaite,NA Sowter,C Munro,2,0,False,2,False,False,False
1,2,57,Manchester Originals,Oval Invincibles,CR Brathwaite,NA Sowter,C Munro,1,0,False,1,False,False,False
1,2,58,Manchester Originals,Oval Invincibles,C Munro,NA Sowter,CR Brathwaite,4,0,False,4,False,False,False
1,2,59,Manchester Originals,Oval Invincibles,C Munro,NA Sowter,CR Brathwaite,0,0,False,0,False,False,False
1,2,60,Manchester Originals,Oval Invincibles,C Munro,NA Sowter,CR Brathwaite,0,0,False,0,True,caught,JJ Roy
1,2,61,Manchester Originals,Oval Invincibles,CR Brathwaite,TK Curran,CG Harrison,1,0,False,1,False,False,False
1,2,62,Manchester Originals,Oval Invincibles,CG Harrison,TK Curran,CR Brathwaite,1,0,False,1,False,False,False
1,2,63,Manchester Originals,Oval Invincibles,CR Brathwaite,TK Curran,CG Harrison,1,0,False,1,False,False,False
1,2,64,Manchester Originals,Oval Invincibles,CG Harrison,TK Curran,CR Brathwaite,1,0,False,1,False,False,False
1,2,65,Manchester Originals,Oval Invincibles,CR Brathwaite,TK Curran,CG Harrison,0,0,False,0,False,False,False
1,2,66,Manchester Originals,Oval Invincibles,CR Brathwaite,RJW Topley,CG Harrison,1,0,False,1,False,False,False
1,2,67,Manchester Originals,Oval Invincibles,CG Harrison,RJW Topley,CR Brathwaite,4,0,False,4,False,False,False
1,2,68,Manchester Originals,Oval Invincibles,CG Harrison,RJW Topley,CR Brathwaite,0,1,wides,1,False,False,False
1,2,68,Manchester Originals,Oval Invincibles,CG Harrison,RJW Topley,CR Brathwaite,1,0,False,1,False,False,False
1,2,69,Manchester Originals,Oval Invincibles,CR Brathwaite,RJW Topley,CG Harrison,4,0,False,4,False,False,False
1,2,70,Manchester Originals,Oval Invincibles,CR Brathwaite,RJW Topley,CG Harrison,4,0,False,4,False,False,False
1,2,71,Manchester Originals,Oval Invincibles,CG Harrison,NA Sowter,CR Brathwaite,0,1,legbyes,1,False,False,False
1,2,72,Manchester Originals,Oval Invincibles,CR Brathwaite,NA Sowter,CG Harrison,1,0,False,1,False,False,False
1,2,73,Manchester Originals,Oval Invincibles,CG Harrison,NA Sowter,CR Brathwaite,1,0,False,1,False,False,False
1,2,74,Manchester Originals,Oval Invincibles,CR Brathwaite,NA Sowter,CG Harrison,1,0,False,1,False,False,False
1,2,75,Manchester Originals,Oval Invincibles,CG Harrison,NA Sowter,CR Brathwaite,1,0,False,1,False,False,False
1,2,76,Manchester Originals,Oval Invincibles,CR Brathwaite,SP Narine,CG Harrison,0,0,False,0,False,False,False
1,2,77,Manchester Originals,Oval Invincibles,CR Brathwaite,SP Narine,CG Harrison,2,0,False,2,False,False,False
1,2,78,Manchester Originals,Oval Invincibles,CR Brathwaite,SP Narine,CG Harrison,2,0,False,2,False,False,False
1,2,79,Manchester Originals,Oval Invincibles,CR Brathwaite,SP Narine,CG Harrison,1,0,False,1,False,False,False
1,2,80,Manchester Originals,Oval Invincibles,CG Harrison,SP Narine,CR Brathwaite,1,0,False,1,False,False,False
